notes,recalc,era,rapper,rapper_clean,color,words,id,source,images
,3426,2010s,J Cole,J Cole,,3911,action,poster,assets/images/j-cole.jpg
,4172,2000s,Jadakiss,Jadakiss,east nowutang third,"4,108",action,site,assets/images/jadakiss.jpg
,4163,2010s,Jay Rock,Jay Rock,,4163,action,new,assets/images/jay-rock.jpg
,4275,1990s,Jay-Z,Jay-Z,east nowutang fourth,"4,506",action,site,assets/images/jay-z.jpg
,5738,2000s,Jean Grae,Jean Grae,,5835,action,poster,assets/images/jean.jpg
,6424,2000s,Jedi Mind Tricks,Jedi Mind Tricks,,6336,action,poster,assets/images/jedi.jpg
,4523,2000s,Joe Budden,Joe Budden,,4523,action,new,assets/images/joe-budden.jpg
,4871,2010s,Joey BadA$$,Joey BadA$$,,4871,action,new,assets/images/joey.jpg
remove,3675,2000s,Juelz Santana,Juelz Santana,,3675,action,new,assets/images/juelz.jpg
,3275,2000s,Juicy J,Juicy J,,3275,action,new,assets/images/juicy-j.jpg
,3442,1990s,Juvenile,Juvenile,south nowutang second,"3,630",action,site,assets/images/juvenile.jpg
remove,4620,1999s,K-Rino,K-Rino,,4900,action,poster,assets/images/k-rino.jpg
,5107,2010s,KAAN,KAAN,,5107,action,new,assets/images/kaan.jpg
,4144,2000s,Kano,Kano,,4144,action,new,assets/images/kano.jpg
,3760,2000s,Kanye West,Kanye West,midwest nowutang second,"3,982",action,site,assets/images/kanye-west.jpg
,4017,2010s,Kendrick Lamar,Kendrick Lamar,,"4,013",action,poster,assets/images/kendrick.jpg
,4318,2000s,Kevin Gates,Kevin Gates,,4318,action,new,assets/images/kevin-gates.jpg
,3318,2010s,Kid Cudi,Kid Cudi,,3318,action,new,assets/images/kid-cudi.jpg
,3055,2010s,Kid Ink,Kid Ink,,"3,055",action,new,assets/images/kid-ink.jpg
,5704,2000s,Killah Priest,Killah Priest,east wutang seventh,"5,737",action,site,assets/images/killah-priest.jpg
,3197,2010s,Kodak Black,Kodak Black,,"3,197",action,new,assets/images/kodak.jpg
,5554,1990s,Kool G Rap,Kool G Rap,east nowutang sixth,"5,394",action,site,assets/images/kool-g-rap.jpg
,5566,1990s,Kool Keith,Kool Keith,east nowutang seventh,"6,238",action,site,assets/images/kool-keith.jpg
,4571,1990s,"KRS-One (only solo albums, excl. boogie productions)",KRS-One,east nowutang fourth,"4,585",action,site,assets/images/krs-one-excl-boogie-production.jpg
remove,3687,2000s,LeCrae,LeCrae,,3687,action,new,assets/images/lecrae.jpg
remove,3842,2010s,Lil B,Lil B,west nowutang second,"3,724",action,site,assets/images/lil-b.jpg
,2762,2010s,Lil Baby,Lil Baby,,"2,762",action,new,assets/images/lil-baby.jpg
,2988,2010s,Lil Durk,Lil Durk,,2988,action,new,assets/images/lil-durk.jpg
,4150,2000s,Lil' Kim,Lil' Kim,east nowutang fourth,"4,474",action,site,assets/images/lil-kim.jpg
,2556,2010s,Lil Uzi Vert,Lil Uzi Vert,,"2,556",action,new,assets/images/lil-uzi-vert.jpg
,3486,2000s,Lil Wayne,Lil Wayne,south nowutang second,"3,486",action,site,assets/images/lil-wayne.jpg
,3161,2010s,Lil Yachty,Lil Yachty,,"3,161",action,new,assets/images/lil-yachty.jpg
,4638,1980s,LL Cool J,LL Cool J,east nowutang fifth,"4,743",action,site,assets/images/ll-cool-j.jpg
,3281,2010s,Logic,Logic,,3281,action,new,assets/images/logic.jpg
,4572,2000s,Ludacris,Ludacris,south nowutang fifth,"4,806",action,site,assets/images/ludacris.jpg
,4645,2000s,Lupe Fiasco,Lupe Fiasco,midwest nowutang fourth,"4,439",action,site,assets/images/lupe-fiasco.jpg
,3960,2010s,Mac Miller,Mac Miller,,4246,action,poster,assets/images/mac-miller.jpg
remove,4577,1990s,Mac Dre,Mac Dre,,5039,action,poster,assets/images/macdre.jpg
,3690,2010s,Machine Gun Kelly,Machine Gun Kelly,,3690,action,new,assets/images/machine.jpg
,3580,1990s,Master P,Master P,south nowutang second,"3,612",action,site,assets/images/master-p.jpg
,3817,1990s,MC Lyte,MC Lyte,,"3,817",action,,assets/images/mc-lyte.jpg
,3454,2010s,Meek Mill,Meek Mill,,3454,action,new,assets/images/meek.jpg
,4910,1990s,Method Man (only solo albums),Method Man,east wutang sixth,"4,951",action,site,assets/images/method-man.jpg
,6169,2000s,MF DOOM,MF DOOM,east nowutang sixth,"5,204",action,site,assets/images/mf-doom.jpg
,3193,2010s,Migos,Migos,,3193,action,new,assets/images/migos.jpg
,3747,2000s,Missy Elliot,Missy Elliot,east nowutang second,"3,874",action,site,assets/images/missy-elliot.jpg
,4243,1990s,Mobb Deep (incl. both Prodigy and Havoc),Mobb Deep,east nowutang fifth,"4,756",action,site,assets/images/mobb-deep.jpg
,4827,2000s,Mos Def,Mos Def,east nowutang fifth,"4,729",action,site,assets/images/mos-def.jpg
,4772,2000s,Murs,Murs,,4723,action,poster,assets/images/murs.jpg
,4977,1990s,Nas,Nas,east nowutang sixth,"5,096",action,site,assets/images/nas.jpg
